Geometric mean of N = 30 runs.
Benchmarked on Tigerlake: https://ark.intel.com/content/www/us/en/ark/products/208921/intel-core-i71165g7-processor-12m-cache-up-to-4-70-ghz-with-ipu.html

Aggregate Geometric Mean of New / Old: 0.8743388468654057

Results For: memrchr
 len, align,  pos, seek_char, invert_pos,  New / Old
   0,  2049,    1,         0,          0,      0.462
   0,  4081,    1,        23,          0,      0.462
   0,  4081,    1,         0,          0,      0.462
   2,  4081,    1,        23,          0,       0.61
   2,  4081,    1,         0,          0,      0.609
   2,     0,    2,         0,          0,      0.889
   3,     0,    2,        23,          0,       1.05
   3,     0,    2,         0,          0,      1.034
   3,     2,    2,        23,          0,        0.9
   3,     2,    2,         0,          0,      0.887
   1,     0,    2,        23,          0,      0.942
   1,     0,    2,         0,          0,      0.941
   1,     2,    2,        23,          0,      1.043
   1,     2,    2,         0,          0,       1.11
   3,  2048,    2,        23,          0,       0.75
   3,  2048,    2,         0,          0,       0.75
   3,  2050,    2,        23,          0,      0.638
   3,  2050,    2,         0,          0,      0.639
   1,  2048,    2,        23,          0,      0.666
   1,  2048,    2,         0,          0,      0.668
   1,  2050,    2,        23,          0,      0.734
   1,  2050,    2,         0,          0,      0.727
   1,  4081,    2,        23,          0,      0.725
   1,  4081,    2,         0,          0,      0.726
   3,  4081,    2,        23,          0,      0.614
   3,  4081,    2,         0,          0,      0.619
   3,     0,    1,        23,          0,      1.043
   4,     0,    3,        23,          0,       1.04
   4,     0,    3,         0,          0,      1.043
   4,     3,    3,        23,          0,      0.886
   4,     3,    3,         0,          0,      0.901
   2,     0,    3,        23,          0,      0.923
   2,     0,    3,         0,          0,      0.933
   2,     3,    3,        23,          0,       1.01
   2,     3,    3,         0,          0,      1.083
   4,  2048,    3,        23,          0,      0.751
   4,  2048,    3,         0,          0,       0.75
   4,  2051,    3,        23,          0,      0.638
   4,  2051,    3,         0,          0,      0.641
   2,  2048,    3,        23,          0,       0.67
   2,  2048,    3,         0,          0,       0.67
   2,  2051,    3,        23,          0,      0.728
   2,  2051,    3,         0,          0,       0.73
   2,  4081,    3,        23,          0,      0.727
   2,  4081,    3,         0,          0,      0.726
   4,  4081,    3,        23,          0,      0.613
   4,  4081,    3,         0,          0,       0.63
   4,     0,    1,        23,          0,      1.073
   4,     0,    2,         0,          0,      1.055
   5,     0,    4,        23,          0,      1.055
   5,     0,    4,         0,          0,      1.066
   5,     4,    4,        23,          0,      0.893
   5,     4,    4,         0,          0,      0.892
   3,     0,    4,        23,          0,      0.911
   3,     0,    4,         0,          0,      0.913
   3,     4,    4,        23,          0,      0.988
   3,     4,    4,         0,          0,      1.055
   5,  2048,    4,        23,          0,      0.751
   5,  2048,    4,         0,          0,      0.752
   5,  2052,    4,        23,          0,       0.64
   5,  2052,    4,         0,          0,      0.639
   3,  2048,    4,        23,          0,      0.668
   3,  2048,    4,         0,          0,      0.669
   3,  2052,    4,        23,          0,       0.73
   3,  2052,    4,         0,          0,      0.731
   3,  4081,    4,        23,          0,      0.726
   3,  4081,    4,         0,          0,       0.73
   5,  4081,    4,        23,          0,       0.62
   5,  4081,    4,         0,          0,      0.611
   5,     0,    1,        23,          0,      1.044
   5,     0,    2,         0,          0,      1.048
   6,     0,    5,        23,          0,      1.062
   6,     0,    5,         0,          0,      1.064
   6,     5,    5,        23,          0,      0.898
   6,     5,    5,         0,          0,      0.896
   4,     0,    5,        23,          0,      0.894
   4,     0,    5,         0,          0,      0.894
   4,     5,    5,        23,          0,      0.974
   4,     5,    5,         0,          0,      1.042
   6,  2048,    5,        23,          0,      0.752
   6,  2048,    5,         0,          0,      0.751
   6,  2053,    5,        23,          0,      0.639
   6,  2053,    5,         0,          0,      0.638
   4,  2048,    5,        23,          0,      0.667
   4,  2048,    5,         0,          0,      0.668
   4,  2053,    5,        23,          0,       0.73
   4,  2053,    5,         0,          0,      0.729
   4,  4081,    5,        23,          0,      0.726
   4,  4081,    5,         0,          0,      0.727
   6,  4081,    5,        23,          0,      0.626
   6,  4081,    5,         0,          0,      0.619
   6,     0,    1,        23,          0,      1.045
   6,     0,    2,         0,          0,      1.049
   7,     0,    6,        23,          0,      1.032
   7,     0,    6,         0,          0,      1.038
   7,     6,    6,        23,          0,      0.889
   7,     6,    6,         0,          0,      0.894
   5,     0,    6,        23,          0,       0.89
   5,     0,    6,         0,          0,      0.891
   5,     6,    6,        23,          0,      0.971
   5,     6,    6,         0,          0,      0.997
   7,  2048,    6,        23,          0,      0.751
   7,  2048,    6,         0,          0,      0.747
   7,  2054,    6,        23,          0,      0.639
   7,  2054,    6,         0,          0,       0.64
   5,  2048,    6,        23,          0,      0.667
   5,  2048,    6,         0,          0,      0.669
   5,  2054,    6,        23,          0,      0.732
   5,  2054,    6,         0,          0,      0.728
   5,  4081,    6,        23,          0,      0.729
   5,  4081,    6,         0,          0,      0.727
   7,  4081,    6,        23,          0,      0.631
   7,  4081,    6,         0,          0,      0.619
   7,     0,    1,        23,          0,      1.042
   7,     0,    2,         0,          0,      1.039
   8,     0,    7,        23,          0,      1.034
   8,     0,    7,         0,          0,       1.04
   8,     7,    7,        23,          0,      0.876
   8,     7,    7,         0,          0,      0.883
   6,     0,    7,        23,          0,      0.891
   6,     0,    7,         0,          0,      0.895
   6,     7,    7,        23,          0,      0.986
   6,     7,    7,         0,          0,      0.996
   8,  2048,    7,        23,          0,      0.754
   8,  2048,    7,         0,          0,      0.754
   8,  2055,    7,        23,          0,      0.638
   8,  2055,    7,         0,          0,      0.638
   6,  2048,    7,        23,          0,      0.667
   6,  2048,    7,         0,          0,       0.67
   6,  2055,    7,        23,          0,       0.73
   6,  2055,    7,         0,          0,      0.729
   6,  4081,    7,        23,          0,      0.726
   6,  4081,    7,         0,          0,      0.727
   8,  4081,    7,        23,          0,       0.61
   8,  4081,    7,         0,          0,      0.616
   8,     0,    1,        23,          0,      1.031
   8,     0,    2,         0,          0,      1.032
   9,     0,    8,        23,          0,      1.044
   9,     0,    8,         0,          0,      1.037
   9,     8,    8,        23,          0,      0.652
   9,     8,    8,         0,          0,      0.643
   7,     0,    8,        23,          0,      0.897
   7,     0,    8,         0,          0,      0.889
   7,     8,    8,        23,          0,      0.969
   7,     8,    8,         0,          0,      1.015
   9,  2048,    8,        23,          0,      0.753
   9,  2048,    8,         0,          0,       0.75
   9,  2056,    8,        23,          0,      0.645
   9,  2056,    8,         0,          0,      0.655
   7,  2048,    8,        23,          0,      0.667
   7,  2048,    8,         0,          0,      0.671
   7,  2056,    8,        23,          0,      0.731
   7,  2056,    8,         0,          0,      0.731
   7,  4081,    8,        23,          0,      0.723
   7,  4081,    8,         0,          0,      0.724
   9,  4081,    8,        23,          0,      0.653
   9,  4081,    8,         0,          0,      0.638
   9,     0,    1,        23,          0,      1.037
   9,     0,    2,         0,          0,      1.032
  10,     0,    9,        23,          0,      1.033
  10,     0,    9,         0,          0,       1.03
  10,     9,    9,        23,          0,       0.66
  10,     9,    9,         0,          0,      0.657
   8,     0,    9,        23,          0,      0.888
   8,     0,    9,         0,          0,      0.891
   8,     9,    9,        23,          0,      0.631
   8,     9,    9,         0,          0,      0.632
  10,  2048,    9,        23,          0,      0.767
  10,  2048,    9,         0,          0,      0.759
  10,  2057,    9,        23,          0,      0.666
  10,  2057,    9,         0,          0,      0.647
   8,  2048,    9,        23,          0,      0.669
   8,  2048,    9,         0,          0,      0.668
   8,  2057,    9,        23,          0,      0.629
   8,  2057,    9,         0,          0,      0.641
   8,  4081,    9,        23,          0,      0.727
   8,  4081,    9,         0,          0,      0.764
  10,  4081,    9,        23,          0,      0.642
  10,  4081,    9,         0,          0,      0.653
  10,     0,    1,        23,          0,      1.031
  10,     0,    2,         0,          0,      1.038
  11,     0,   10,        23,          0,      1.032
  11,     0,   10,         0,          0,      1.029
  11,    10,   10,        23,          0,      0.652
  11,    10,   10,         0,          0,      0.656
   9,     0,   10,        23,          0,      0.893
   9,     0,   10,         0,          0,      0.894
   9,    10,   10,        23,          0,      0.629
   9,    10,   10,         0,          0,      0.707
  11,  2048,   10,        23,          0,      0.753
  11,  2048,   10,         0,          0,      0.749
  11,  2058,   10,        23,          0,      0.662
  11,  2058,   10,         0,          0,      0.661
   9,  2048,   10,        23,          0,      0.673
   9,  2048,   10,         0,          0,      0.666
   9,  2058,   10,        23,          0,      0.629
   9,  2058,   10,         0,          0,      0.663
   9,  4081,   10,        23,          0,      0.727
   9,  4081,   10,         0,          0,      0.779
  11,  4081,   10,        23,          0,      0.624
  11,  4081,   10,         0,          0,      0.619
  11,     0,    1,        23,          0,       1.03
  11,     0,    2,         0,          0,       1.03
  12,     0,   11,        23,          0,      1.039
  12,     0,   11,         0,          0,       1.03
  12,    11,   11,        23,          0,      0.653
  12,    11,   11,         0,          0,      0.652
  10,     0,   11,        23,          0,      0.896
  10,     0,   11,         0,          0,      0.889
  10,    11,   11,        23,          0,      0.628
  10,    11,   11,         0,          0,      0.696
  12,  2048,   11,        23,          0,      0.752
  12,  2048,   11,         0,          0,      0.754
  12,  2059,   11,        23,          0,      0.657
  12,  2059,   11,         0,          0,      0.652
  10,  2048,   11,        23,          0,       0.67
  10,  2048,   11,         0,          0,      0.668
  10,  2059,   11,        23,          0,      0.627
  10,  2059,   11,         0,          0,      0.677
  10,  4081,   11,        23,          0,      0.726
  10,  4081,   11,         0,          0,      0.771
  12,  4081,   11,        23,          0,      0.648
  12,  4081,   11,         0,          0,      0.624
  12,     0,    1,        23,          0,      1.047
  12,     0,    2,         0,          0,      1.042
  13,     0,   12,        23,          0,      1.043
  13,     0,   12,         0,          0,       1.04
  13,    12,   12,        23,          0,       0.66
  13,    12,   12,         0,          0,      0.647
  11,     0,   12,        23,          0,      0.891
  11,     0,   12,         0,          0,      0.895
  11,    12,   12,        23,          0,      0.629
  11,    12,   12,         0,          0,      0.655
  13,  2048,   12,        23,          0,      0.749
  13,  2048,   12,         0,          0,      0.748
  13,  2060,   12,        23,          0,      0.647
  13,  2060,   12,         0,          0,      0.636
  11,  2048,   12,        23,          0,      0.669
  11,  2048,   12,         0,          0,      0.668
  11,  2060,   12,        23,          0,      0.627
  11,  2060,   12,         0,          0,      0.664
  11,  4081,   12,        23,          0,      0.725
  11,  4081,   12,         0,          0,      0.766
  13,  4081,   12,        23,          0,      0.674
  13,  4081,   12,         0,          0,      0.633
  13,     0,    1,        23,          0,      1.036
  13,     0,    2,         0,          0,      1.029
  14,     0,   13,        23,          0,      1.029
  14,     0,   13,         0,          0,      1.032
  14,    13,   13,        23,          0,      0.646
  14,    13,   13,         0,          0,      0.655
  12,     0,   13,        23,          0,      0.889
  12,     0,   13,         0,          0,       0.89
  12,    13,   13,        23,          0,      0.628
  12,    13,   13,         0,          0,      0.684
  14,  2048,   13,        23,          0,      0.748
  14,  2048,   13,         0,          0,      0.749
  14,  2061,   13,        23,          0,      0.644
  14,  2061,   13,         0,          0,      0.651
  12,  2048,   13,        23,          0,       0.67
  12,  2048,   13,         0,          0,      0.667
  12,  2061,   13,        23,          0,      0.627
  12,  2061,   13,         0,          0,      0.655
  12,  4081,   13,        23,          0,      0.725
  12,  4081,   13,         0,          0,      0.758
  14,  4081,   13,        23,          0,      0.645
  14,  4081,   13,         0,          0,      0.638
  14,     0,    1,        23,          0,      1.046
  14,     0,    2,         0,          0,      1.029
  15,     0,   14,        23,          0,      1.028
  15,     0,   14,         0,          0,      1.029
  15,    14,   14,        23,          0,       0.65
  15,    14,   14,         0,          0,      0.671
  13,     0,   14,        23,          0,      0.891
  13,     0,   14,         0,          0,       0.89
  13,    14,   14,        23,          0,      0.637
  13,    14,   14,         0,          0,      0.628
  15,  2048,   14,        23,          0,       0.75
  15,  2048,   14,         0,          0,      0.751
  15,  2062,   14,        23,          0,      0.647
  15,  2062,   14,         0,          0,      0.655
  13,  2048,   14,        23,          0,      0.667
  13,  2048,   14,         0,          0,      0.667
  13,  2062,   14,        23,          0,      0.658
  13,  2062,   14,         0,          0,      0.655
  13,  4081,   14,        23,          0,      0.726
  13,  4081,   14,         0,          0,      0.778
  15,  4081,   14,        23,          0,      0.872
  15,  4081,   14,         0,          0,      0.872
  15,     0,    1,        23,          0,      1.052
  15,     0,    2,         0,          0,      1.028
  16,     0,   15,        23,          0,      0.724
  16,     0,   15,         0,          0,      0.724
  16,    15,   15,        23,          0,       0.65
  16,    15,   15,         0,          0,       0.65
  14,     0,   15,        23,          0,      0.889
  14,     0,   15,         0,          0,      0.889
  14,    15,   15,        23,          0,      0.626
  14,    15,   15,         0,          0,      0.665
  16,  2048,   15,        23,          0,      0.735
  16,  2048,   15,         0,          0,      0.717
  16,  2063,   15,        23,          0,      0.648
  16,  2063,   15,         0,          0,      0.651
  14,  2048,   15,        23,          0,      0.667
  14,  2048,   15,         0,          0,      0.667
  14,  2063,   15,        23,          0,      0.627
  14,  2063,   15,         0,          0,      0.694
  14,  4081,   15,        23,          0,      0.725
  14,  4081,   15,         0,          0,      0.801
  16,  4081,   15,        23,          0,      0.999
  16,  4081,   15,         0,          0,      0.999
  16,     0,    1,        23,          0,      0.751
  16,     0,    2,         0,          0,      0.731
  17,     0,   16,        23,          0,      1.167
  17,     0,   16,         0,          0,      1.165
  17,    16,   16,        23,          0,      1.167
  17,    16,   16,         0,          0,      1.167
  15,     0,   16,        23,          0,      0.889
  15,     0,   16,         0,          0,      0.889
  15,    16,   16,        23,          0,      0.666
  15,    16,   16,         0,          0,      0.712
  17,  2048,   16,        23,          0,      1.167
  17,  2048,   16,         0,          0,      1.167
  17,  2064,   16,        23,          0,      1.167
  17,  2064,   16,         0,          0,      1.167
  15,  2048,   16,        23,          0,      0.667
  15,  2048,   16,         0,          0,      0.667
  15,  2064,   16,        23,          0,      0.667
  15,  2064,   16,         0,          0,      0.696
  15,  4081,   16,        23,          0,      0.956
  15,  4081,   16,         0,          0,      1.098
  17,  4081,   16,        23,          0,        1.5
  17,  4081,   16,         0,          0,        1.5
  17,     0,    1,        23,          0,      1.167
  17,     0,    2,         0,          0,      1.167
  18,     0,   17,        23,          0,      1.167
  18,     0,   17,         0,          0,      1.167
  18,    17,   17,        23,          0,      1.167
  18,    17,   17,         0,          0,      1.167
  16,     0,   17,        23,          0,      0.667
  16,     0,   17,         0,          0,      0.667
  16,    17,   17,        23,          0,      0.627
  16,    17,   17,         0,          0,      0.627
  18,  2048,   17,        23,          0,      1.167
  18,  2048,   17,         0,          0,      1.167
  18,  2065,   17,        23,          0,      1.167
  18,  2065,   17,         0,          0,      1.167
  16,  2048,   17,        23,          0,      0.667
  16,  2048,   17,         0,          0,      0.667
  16,  2065,   17,        23,          0,      0.627
  16,  2065,   17,         0,          0,      0.627
  16,  4081,   17,        23,          0,      1.046
  16,  4081,   17,         0,          0,      1.095
  18,  4081,   17,        23,          0,        1.5
  18,  4081,   17,         0,          0,        1.5
  18,     0,    1,        23,          0,      0.852
  18,     0,    2,         0,          0,      1.167
  19,     0,   18,        23,          0,      1.167
  19,     0,   18,         0,          0,      1.167
  19,    18,   18,        23,          0,      1.167
  19,    18,   18,         0,          0,      1.167
  17,     0,   18,        23,          0,      0.889
  17,     0,   18,         0,          0,      0.889
  17,    18,   18,        23,          0,      0.889
  17,    18,   18,         0,          0,        0.8
  19,  2048,   18,        23,          0,      1.167
  19,  2048,   18,         0,          0,      1.167
  19,  2066,   18,        23,          0,      1.167
  19,  2066,   18,         0,          0,      1.167
  17,  2048,   18,        23,          0,      0.889
  17,  2048,   18,         0,          0,      0.889
  17,  2066,   18,        23,          0,      0.889
  17,  2066,   18,         0,          0,        0.8
  17,  4081,   18,        23,          0,       1.11
  17,  4081,   18,         0,          0,      1.047
  19,  4081,   18,        23,          0,        1.5
  19,  4081,   18,         0,          0,        1.5
  19,     0,    1,        23,          0,      0.897
  19,     0,    2,         0,          0,      0.878
  20,     0,   19,        23,          0,      1.167
  20,     0,   19,         0,          0,      1.167
  20,    19,   19,        23,          0,      1.167
  20,    19,   19,         0,          0,      1.167
  18,     0,   19,        23,          0,      0.889
  18,     0,   19,         0,          0,      0.889
  18,    19,   19,        23,          0,      0.889
  18,    19,   19,         0,          0,        0.8
  20,  2048,   19,        23,          0,      1.167
  20,  2048,   19,         0,          0,      1.167
  20,  2067,   19,        23,          0,      1.167
  20,  2067,   19,         0,          0,      1.167
  18,  2048,   19,        23,          0,      0.889
  18,  2048,   19,         0,          0,      0.889
  18,  2067,   19,        23,          0,      0.889
  18,  2067,   19,         0,          0,        0.8
  18,  4081,   19,        23,          0,       1.11
  18,  4081,   19,         0,          0,      1.047
  20,  4081,   19,        23,          0,        1.5
  20,  4081,   19,         0,          0,        1.5
  20,     0,    1,        23,          0,      0.906
  20,     0,    2,         0,          0,      0.899
  21,     0,   20,        23,          0,      1.167
  21,     0,   20,         0,          0,      1.167
  21,    20,   20,        23,          0,      1.167
  21,    20,   20,         0,          0,      1.167
  19,     0,   20,        23,          0,      0.889
  19,     0,   20,         0,          0,      0.889
  19,    20,   20,        23,          0,      0.889
  19,    20,   20,         0,          0,        0.8
  21,  2048,   20,        23,          0,      1.167
  21,  2048,   20,         0,          0,      1.167
  21,  2068,   20,        23,          0,      1.167
  21,  2068,   20,         0,          0,      1.167
  19,  2048,   20,        23,          0,      0.889
  19,  2048,   20,         0,          0,      0.889
  19,  2068,   20,        23,          0,      0.889
  19,  2068,   20,         0,          0,        0.8
  19,  4081,   20,        23,          0,       1.11
  19,  4081,   20,         0,          0,      1.047
  21,  4081,   20,        23,          0,        1.5
  21,  4081,   20,         0,          0,        1.5
  21,     0,    1,        23,          0,      0.902
  21,     0,    2,         0,          0,      0.891
  22,     0,   21,        23,          0,      1.167
  22,     0,   21,         0,          0,      1.167
  22,    21,   21,        23,          0,      1.167
  22,    21,   21,         0,          0,      1.167
  20,     0,   21,        23,          0,      0.889
  20,     0,   21,         0,          0,      0.889
  20,    21,   21,        23,          0,      0.889
  20,    21,   21,         0,          0,        0.8
  22,  2048,   21,        23,          0,      1.167
  22,  2048,   21,         0,          0,      1.167
  22,  2069,   21,        23,          0,      1.167
  22,  2069,   21,         0,          0,      1.167
  20,  2048,   21,        23,          0,      0.889
  20,  2048,   21,         0,          0,      0.889
  20,  2069,   21,        23,          0,      0.889
  20,  2069,   21,         0,          0,        0.8
  20,  4081,   21,        23,          0,       1.11
  20,  4081,   21,         0,          0,       1.06
  22,  4081,   21,        23,          0,        1.5
  22,  4081,   21,         0,          0,        1.5
  22,     0,    1,        23,          0,      0.915
  22,     0,    2,         0,          0,      0.906
  23,     0,   22,        23,          0,      1.167
  23,     0,   22,         0,          0,      1.167
  23,    22,   22,        23,          0,      1.167
  23,    22,   22,         0,          0,      1.167
  21,     0,   22,        23,          0,      0.889
  21,     0,   22,         0,          0,      0.889
  21,    22,   22,        23,          0,      0.889
  21,    22,   22,         0,          0,        0.8
  23,  2048,   22,        23,          0,      1.167
  23,  2048,   22,         0,          0,      1.167
  23,  2070,   22,        23,          0,      1.167
  23,  2070,   22,         0,          0,      1.167
  21,  2048,   22,        23,          0,      0.889
  21,  2048,   22,         0,          0,      0.889
  21,  2070,   22,        23,          0,      0.889
  21,  2070,   22,         0,          0,        0.8
  21,  4081,   22,        23,          0,       1.11
  21,  4081,   22,         0,          0,      1.059
  23,  4081,   22,        23,          0,        1.5
  23,  4081,   22,         0,          0,        1.5
  23,     0,    1,        23,          0,      0.914
  23,     0,    2,         0,          0,      0.907
  24,     0,   23,        23,          0,      1.167
  24,     0,   23,         0,          0,      1.167
  24,    23,   23,        23,          0,      1.167
  24,    23,   23,         0,          0,      1.167
  22,     0,   23,        23,          0,      0.889
  22,     0,   23,         0,          0,      0.889
  22,    23,   23,        23,          0,      0.889
  22,    23,   23,         0,          0,        0.8
  24,  2048,   23,        23,          0,      1.167
  24,  2048,   23,         0,          0,      1.167
  24,  2071,   23,        23,          0,      1.167
  24,  2071,   23,         0,          0,      1.167
  22,  2048,   23,        23,          0,      0.889
  22,  2048,   23,         0,          0,      0.889
  22,  2071,   23,        23,          0,      0.889
  22,  2071,   23,         0,          0,        0.8
  22,  4081,   23,        23,          0,       1.11
  22,  4081,   23,         0,          0,      1.049
  24,  4081,   23,        23,          0,        1.5
  24,  4081,   23,         0,          0,        1.5
  24,     0,    1,        23,          0,      0.915
  24,     0,    2,         0,          0,      0.915
  25,     0,   24,        23,          0,      1.167
  25,     0,   24,         0,          0,      1.167
  25,    24,   24,        23,          0,      1.167
  25,    24,   24,         0,          0,      1.167
  23,     0,   24,        23,          0,      0.889
  23,     0,   24,         0,          0,      0.889
  23,    24,   24,        23,          0,      0.889
  23,    24,   24,         0,          0,        0.8
  25,  2048,   24,        23,          0,      1.167
  25,  2048,   24,         0,          0,      1.167
  25,  2072,   24,        23,          0,      1.167
  25,  2072,   24,         0,          0,      1.167
  23,  2048,   24,        23,          0,      0.889
  23,  2048,   24,         0,          0,      0.889
  23,  2072,   24,        23,          0,      0.889
  23,  2072,   24,         0,          0,        0.8
  23,  4081,   24,        23,          0,       1.11
  23,  4081,   24,         0,          0,       1.05
  25,  4081,   24,        23,          0,        1.5
  25,  4081,   24,         0,          0,        1.5
  25,     0,    1,        23,          0,      0.917
  25,     0,    2,         0,          0,      0.918
  26,     0,   25,        23,          0,      1.167
  26,     0,   25,         0,          0,      1.167
  26,    25,   25,        23,          0,      1.167
  26,    25,   25,         0,          0,      1.167
  24,     0,   25,        23,          0,      0.889
  24,     0,   25,         0,          0,      0.889
  24,    25,   25,        23,          0,      0.898
  24,    25,   25,         0,          0,      0.832
  26,  2048,   25,        23,          0,      1.167
  26,  2048,   25,         0,          0,      1.167
  26,  2073,   25,        23,          0,      1.167
  26,  2073,   25,         0,          0,      1.167
  24,  2048,   25,        23,          0,      0.889
  24,  2048,   25,         0,          0,      0.889
  24,  2073,   25,        23,          0,      0.879
  24,  2073,   25,         0,          0,      0.814
  24,  4081,   25,        23,          0,       1.11
  24,  4081,   25,         0,          0,      1.049
  26,  4081,   25,        23,          0,        1.5
  26,  4081,   25,         0,          0,        1.5
  26,     0,    1,        23,          0,      0.869
  26,     0,    2,         0,          0,      0.869
  27,     0,   26,        23,          0,      1.167
  27,     0,   26,         0,          0,      1.167
  27,    26,   26,        23,          0,      1.167
  27,    26,   26,         0,          0,      1.167
  25,     0,   26,        23,          0,      0.889
  25,     0,   26,         0,          0,      0.889
  25,    26,   26,        23,          0,      0.871
  25,    26,   26,         0,          0,      0.827
  27,  2048,   26,        23,          0,      1.167
  27,  2048,   26,         0,          0,      1.167
  27,  2074,   26,        23,          0,      1.167
  27,  2074,   26,         0,          0,      1.167
  25,  2048,   26,        23,          0,      0.889
  25,  2048,   26,         0,          0,      0.889
  25,  2074,   26,        23,          0,       0.88
  25,  2074,   26,         0,          0,      0.823
