Results For: memcpy
length,align1,align2,dst > src, New Time / Old Time
1024,0,10,1,1.126
1024,0,42,0,1.114
1024,0,42,1,1.114
1024,10,10,0,0.89
1024,10,10,1,0.89
1024,42,42,0,0.986
1024,42,42,1,0.986
1024,2048,0,0,1.143
1024,2048,0,1,1.143
1024,2058,0,0,1.015
1024,2058,0,1,1.015
1024,2048,10,0,1.03
1024,2048,10,1,1.03
1024,2058,10,0,0.854
1024,2058,10,1,0.854
2048,0,0,0,1.005
2048,0,0,1,1.005
2048,11,0,0,1.013
2048,11,0,1,1.014
2048,43,0,0,1.044
2048,43,0,1,1.044
2048,0,11,0,1.003
2048,0,11,1,1.003
2048,0,43,0,1.003
2048,0,43,1,1.003
2048,11,11,0,0.92
2048,11,11,1,0.92
2048,43,43,0,1.0
2048,43,43,1,1.0
2048,2048,0,0,1.005
2048,2048,0,1,1.005
2048,2059,0,0,0.904
2048,2059,0,1,0.904
2048,2048,11,0,1.0
2048,2048,11,1,1.0
2048,2059,11,0,0.979
2048,2059,11,1,0.979
4096,0,0,0,1.014
4096,0,0,1,1.014
4096,12,0,0,0.855
4096,12,0,1,0.855
4096,44,0,0,0.857
4096,44,0,1,0.857
4096,0,12,0,0.932
4096,0,12,1,0.932
4096,0,44,0,0.932
4096,0,44,1,0.932
4096,12,12,0,0.999
4096,12,12,1,0.999
4096,44,44,0,1.051
4096,44,44,1,1.051
4096,2048,0,0,1.014
4096,2048,0,1,1.014
4096,2060,0,0,0.98
4096,2060,0,1,0.98
4096,2048,12,0,0.77
4096,2048,12,1,0.77
4096,2060,12,0,0.943
4096,2060,12,1,0.943
8192,0,0,0,1.046
8192,0,0,1,1.046
8192,13,0,0,0.885
8192,13,0,1,0.885
8192,45,0,0,0.887
8192,45,0,1,0.886
8192,0,13,0,0.942
8192,0,13,1,0.942
8192,0,45,0,0.942
8192,0,45,1,0.942
8192,13,13,0,1.03
8192,13,13,1,1.03
8192,45,45,0,1.048
8192,45,45,1,1.048
8192,2048,0,0,1.048
8192,2048,0,1,1.048
8192,2061,0,0,1.011
8192,2061,0,1,1.011
8192,2048,13,0,0.789
8192,2048,13,1,0.789
8192,2061,13,0,0.991
8192,2061,13,1,0.991
16384,0,0,0,1.014
16384,0,0,1,1.008
16384,14,0,0,0.951
16384,14,0,1,0.95
16384,46,0,0,0.874
16384,46,0,1,0.871
16384,0,14,0,0.813
16384,0,14,1,0.81
16384,0,46,0,0.85
16384,0,46,1,0.86
16384,14,14,0,0.985
16384,14,14,1,0.975
16384,46,46,0,1.025
16384,46,46,1,1.027
16384,2048,0,0,1.058
16384,2048,0,1,1.058
16384,2062,0,0,0.849
16384,2062,0,1,0.848
16384,2048,14,0,0.907
16384,2048,14,1,0.907
16384,2062,14,0,0.988
16384,2062,14,1,0.995
32768,0,0,0,0.979
32768,0,0,1,0.979
32768,15,0,0,1.006
32768,15,0,1,1.006
32768,47,0,0,1.004
32768,47,0,1,1.004
32768,0,15,0,1.045
32768,0,15,1,1.045
32768,0,47,0,1.011
32768,0,47,1,1.012
32768,15,15,0,0.977
32768,15,15,1,0.977
32768,47,47,0,0.96
32768,47,47,1,0.96
32768,2048,0,0,0.978
32768,2048,0,1,0.978
32768,2063,0,0,1.004
32768,2063,0,1,1.004
32768,2048,15,0,1.036
32768,2048,15,1,1.036
32768,2063,15,0,0.978
32768,2063,15,1,0.978
65536,0,0,0,0.981
65536,0,0,1,0.981
65536,16,0,0,0.987
65536,16,0,1,0.987
65536,48,0,0,0.968
65536,48,0,1,0.968
65536,0,16,0,1.014
65536,0,16,1,1.014
65536,0,48,0,0.984
65536,0,48,1,0.984
65536,16,16,0,1.01
65536,16,16,1,1.01
65536,48,48,0,0.968
65536,48,48,1,0.968
65536,2048,0,0,0.982
65536,2048,0,1,0.982
65536,2064,0,0,0.987
65536,2064,0,1,0.987
65536,2048,16,0,1.012
65536,2048,16,1,1.012
65536,2064,16,0,1.007
65536,2064,16,1,1.007
0,0,0,0,2.104
0,2048,0,0,2.104
0,4095,0,0,2.109
0,0,4095,0,2.103
1,1,0,0,2.104
1,0,1,0,2.098
1,1,1,0,2.098
1,2049,0,0,2.102
1,2048,1,0,2.098
1,2049,1,0,2.098
1,4095,0,0,2.103
1,0,4095,0,2.098
2,2,0,0,1.139
2,0,2,0,1.136
2,2,2,0,1.136
2,2050,0,0,1.139
2,2048,2,0,1.136
2,2050,2,0,1.136
2,4095,0,0,1.0
2,0,4095,0,1.022
3,0,0,0,0.981
3,3,0,0,0.984
3,0,3,0,0.982
3,3,3,0,0.982
3,2048,0,0,0.982
3,2051,0,0,0.983
3,2048,3,0,0.982
3,2051,3,0,0.982
3,4095,0,0,0.285
3,0,4095,0,0.231
4,4,0,0,1.373
4,0,4,0,1.31
4,4,4,0,1.282
4,2052,0,0,1.264
4,2048,4,0,1.254
4,2052,4,0,1.254
4,4095,0,0,1.971
4,0,4095,0,1.994
5,0,0,0,1.145
5,5,0,0,1.155
5,0,5,0,1.171
5,5,5,0,1.171
5,2048,0,0,1.197
5,2053,0,0,1.173
5,2048,5,0,1.171
5,2053,5,0,1.171
5,4095,0,0,0.935
5,0,4095,0,1.017
6,0,0,0,1.145
6,6,0,0,1.098
6,0,6,0,1.096
6,6,6,0,1.096
6,2048,0,0,1.12
6,2054,0,0,1.122
6,2048,6,0,1.12
6,2054,6,0,1.096
6,4095,0,0,0.935
6,0,4095,0,1.018
7,0,0,0,1.071
7,7,0,0,1.074
7,0,7,0,1.072
7,7,7,0,1.072
7,2048,0,0,1.096
7,2055,0,0,1.098
7,2048,7,0,1.096
7,2055,7,0,1.096
7,4095,0,0,0.935
7,0,4095,0,1.016
8,8,0,0,1.167
8,0,8,0,1.028
8,8,8,0,1.028
8,2056,0,0,1.069
8,2048,8,0,1.028
8,2056,8,0,1.028
8,4095,0,0,1.029
8,0,4095,0,1.043
9,0,0,0,0.799
9,9,0,0,0.801
9,0,9,0,0.799
9,9,9,0,0.799
9,2048,0,0,0.8
9,2057,0,0,0.801
9,2048,9,0,0.8
9,2057,9,0,0.799
9,4095,0,0,0.909
9,0,4095,0,1.0
10,0,0,0,0.799
10,10,0,0,0.801
10,0,10,0,0.8
10,10,10,0,0.8
10,2048,0,0,0.8
10,2058,0,0,0.801
10,2048,10,0,0.8
10,2058,10,0,0.8
10,4095,0,0,0.909
10,0,4095,0,1.0
11,0,0,0,0.799
11,11,0,0,0.801
11,0,11,0,0.8
11,11,11,0,0.8
11,2048,0,0,0.8
11,2059,0,0,0.802
11,2048,11,0,0.8
11,2059,11,0,0.8
11,4095,0,0,0.909
11,0,4095,0,1.0
12,0,0,0,0.799
12,12,0,0,0.801
12,0,12,0,0.8
12,12,12,0,0.8
12,2048,0,0,0.8
12,2060,0,0,0.802
12,2048,12,0,0.8
12,2060,12,0,0.8
12,4095,0,0,0.909
12,0,4095,0,1.0
13,0,0,0,0.798
13,13,0,0,0.801
13,0,13,0,0.799
13,13,13,0,0.799
13,2048,0,0,0.8
13,2061,0,0,0.801
13,2048,13,0,0.8
13,2061,13,0,0.8
13,4095,0,0,0.909
13,0,4095,0,1.0
14,0,0,0,0.799
14,14,0,0,0.801
14,0,14,0,0.8
14,14,14,0,0.8
14,2048,0,0,0.8
14,2062,0,0,0.801
14,2048,14,0,0.8
14,2062,14,0,0.8
14,4095,0,0,0.909
14,0,4095,0,1.0
15,0,0,0,0.799
15,15,0,0,0.801
15,0,15,0,0.8
15,15,15,0,0.8
15,2048,0,0,0.8
15,2063,0,0,0.802
15,2048,15,0,0.8
15,2063,15,0,0.8
15,4095,0,0,0.909
15,0,4095,0,1.0
16,16,0,0,0.801
16,0,16,0,0.799
16,16,16,0,0.799
16,2064,0,0,0.801
16,2048,16,0,0.798
16,2064,16,0,0.798
16,4095,0,0,1.818
16,0,4095,0,1.957
17,0,0,0,0.798
17,17,0,0,0.8
17,0,17,0,0.799
17,17,17,0,0.798
17,2048,0,0,0.798
17,2065,0,0,0.8
17,2048,17,0,0.798
17,2065,17,0,0.799
17,4095,0,0,0.937
17,0,4095,0,1.021
18,0,0,0,0.798
18,18,0,0,0.801
18,0,18,0,0.798
18,18,18,0,0.798
18,2048,0,0,0.799
18,2066,0,0,0.8
18,2048,18,0,0.798
18,2066,18,0,0.798
18,4095,0,0,0.937
18,0,4095,0,1.021
19,0,0,0,0.798
19,19,0,0,0.8
19,0,19,0,0.798
19,19,19,0,0.798
19,2048,0,0,0.798
19,2067,0,0,0.8
19,2048,19,0,0.798
19,2067,19,0,0.798
19,4095,0,0,0.937
19,0,4095,0,1.021
20,0,0,0,0.798
20,20,0,0,0.8
20,0,20,0,0.798
20,20,20,0,0.798
20,2048,0,0,0.798
20,2068,0,0,0.8
20,2048,20,0,0.798
20,2068,20,0,0.798
20,4095,0,0,0.937
20,0,4095,0,1.021
21,0,0,0,0.798
21,21,0,0,0.801
21,0,21,0,0.798
21,21,21,0,0.798
21,2048,0,0,0.798
21,2069,0,0,0.801
21,2048,21,0,0.799
21,2069,21,0,0.798
21,4095,0,0,0.937
21,0,4095,0,1.021
22,0,0,0,0.798
22,22,0,0,0.801
22,0,22,0,0.798
22,22,22,0,0.798
22,2048,0,0,0.798
22,2070,0,0,0.801
22,2048,22,0,0.798
22,2070,22,0,0.798
22,4095,0,0,0.937
22,0,4095,0,1.021
23,0,0,0,0.798
23,23,0,0,0.8
23,0,23,0,0.798
23,23,23,0,0.798
23,2048,0,0,0.798
23,2071,0,0,0.8
23,2048,23,0,0.798
23,2071,23,0,0.798
23,4095,0,0,0.937
23,0,4095,0,1.021
24,0,0,0,0.798
24,24,0,0,0.8
24,0,24,0,0.799
24,24,24,0,0.798
24,2048,0,0,0.798
24,2072,0,0,0.801
24,2048,24,0,0.798
24,2072,24,0,0.798
24,4095,0,0,0.937
24,0,4095,0,1.021
25,0,0,0,0.5
25,25,0,0,0.5
25,0,25,0,0.5
25,25,25,0,0.5
25,2048,0,0,0.5
25,2073,0,0,0.501
25,2048,25,0,0.5
25,2073,25,0,0.5
25,4095,0,0,0.974
25,0,4095,0,0.98
26,0,0,0,0.5
26,26,0,0,0.501
26,0,26,0,0.5
26,26,26,0,0.501
26,2048,0,0,0.5
26,2074,0,0,0.5
26,2048,26,0,0.5
26,2074,26,0,0.5
26,4095,0,0,0.974
26,0,4095,0,1.0
27,0,0,0,0.5
27,27,0,0,0.501
27,0,27,0,0.5
27,27,27,0,0.5
27,2048,0,0,0.5
27,2075,0,0,0.5
27,2048,27,0,0.5
27,2075,27,0,0.5
27,4095,0,0,0.974
27,0,4095,0,1.0
28,0,0,0,0.5
28,28,0,0,0.501
28,0,28,0,0.5
28,28,28,0,0.5
28,2048,0,0,0.5
28,2076,0,0,0.5
28,2048,28,0,0.5
28,2076,28,0,0.5
28,4095,0,0,0.974
28,0,4095,0,1.0
29,0,0,0,0.471
29,29,0,0,0.471
29,0,29,0,0.471
29,29,29,0,0.471
29,2048,0,0,0.471
29,2077,0,0,0.471
29,2048,29,0,0.471
29,2077,29,0,0.471
29,4095,0,0,0.974
29,0,4095,0,1.0
30,0,0,0,0.471
30,30,0,0,0.471
30,0,30,0,0.471
30,30,30,0,0.471
30,2048,0,0,0.471
30,2078,0,0,0.471
30,2048,30,0,0.471
30,2078,30,0,0.471
30,4095,0,0,0.974
30,0,4095,0,1.0
31,0,0,0,0.471
31,31,0,0,0.471
31,0,31,0,0.471
31,31,31,0,0.471
31,2048,0,0,0.471
31,2079,0,0,0.471
31,2048,31,0,0.471
31,2079,31,0,0.471
31,4095,0,0,0.974
31,0,4095,0,1.0
48,0,0,0,1.0
48,0,0,1,1.0
48,3,0,0,1.0
48,3,0,1,1.0
48,0,3,0,1.0
48,0,3,1,1.0
48,3,3,0,1.0
48,3,3,1,1.0
48,2048,0,0,1.0
48,2048,0,1,1.0
48,2051,0,0,1.0
48,2051,0,1,1.0
48,2048,3,0,1.0
48,2048,3,1,1.0
48,2051,3,0,1.0
48,2051,3,1,1.0
80,0,0,0,0.781
80,0,0,1,0.782
80,5,0,0,0.976
80,5,0,1,0.976
80,0,5,0,1.232
80,0,5,1,1.232
80,5,5,0,1.542
80,5,5,1,1.543
80,2048,0,0,0.781
80,2048,0,1,0.782
80,2053,0,0,0.976
80,2053,0,1,0.976
80,2048,5,0,1.093
80,2048,5,1,1.093
80,2053,5,0,1.371
80,2053,5,1,1.371
96,0,0,0,0.758
96,0,0,1,0.758
96,6,0,0,0.929
96,6,0,1,0.929
96,0,6,0,1.204
96,0,6,1,1.204
96,6,6,0,1.562
96,6,6,1,1.562
96,2048,0,0,0.758
96,2048,0,1,0.758
96,2054,0,0,0.929
96,2054,0,1,0.929
96,2048,6,0,1.068
96,2048,6,1,1.068
96,2054,6,0,1.562
96,2054,6,1,1.562
112,0,0,0,0.736
112,0,0,1,0.736
112,7,0,0,0.675
112,7,0,1,0.675
112,0,7,0,0.778
112,0,7,1,0.778
112,7,7,0,0.909
112,7,7,1,0.909
112,2048,0,0,0.736
112,2048,0,1,0.736
112,2055,0,0,0.675
112,2055,0,1,0.675
112,2048,7,0,0.778
112,2048,7,1,0.778
112,2055,7,0,0.909
112,2055,7,1,0.909
144,0,0,0,0.857
144,0,0,1,0.857
144,9,0,0,0.941
144,9,0,1,0.943
144,0,9,0,1.137
144,0,9,1,1.137
144,9,9,0,1.514
144,9,9,1,1.514
144,2048,0,0,0.857
144,2048,0,1,0.857
144,2057,0,0,0.939
144,2057,0,1,0.945
144,2048,9,0,0.922
144,2048,9,1,0.922
144,2057,9,0,1.514
144,2057,9,1,1.514
160,0,0,0,0.698
160,0,0,1,0.698
160,10,0,0,0.91
160,10,0,1,0.91
160,0,10,0,1.211
160,0,10,1,1.212
160,10,10,0,1.357
160,10,10,1,1.357
160,2048,0,0,0.698
160,2048,0,1,0.698
160,2058,0,0,0.91
160,2058,0,1,0.91
160,2048,10,0,0.923
160,2048,10,1,0.923
160,2058,10,0,1.357
160,2058,10,1,1.357
176,0,0,0,0.796
176,0,0,1,0.796
176,11,0,0,0.804
176,11,0,1,0.804
176,0,11,0,0.774
176,0,11,1,0.774
176,11,11,0,0.814
176,11,11,1,0.814
176,2048,0,0,0.796
176,2048,0,1,0.796
176,2059,0,0,0.804
176,2059,0,1,0.804
176,2048,11,0,0.774
176,2048,11,1,0.774
176,2059,11,0,0.814
176,2059,11,1,0.814
192,0,0,0,0.778
192,0,0,1,0.778
192,12,0,0,0.881
192,12,0,1,0.881
192,0,12,0,1.167
192,0,12,1,1.167
192,12,12,0,0.841
192,12,12,1,0.841
192,2048,0,0,0.778
192,2048,0,1,0.778
192,2060,0,0,0.881
192,2060,0,1,0.881
192,2048,12,0,0.889
192,2048,12,1,0.889
192,2060,12,0,0.906
192,2060,12,1,0.906
208,0,0,0,0.833
208,0,0,1,0.833
208,13,0,0,0.921
208,13,0,1,0.921
208,0,13,0,0.835
208,0,13,1,0.833
208,13,13,0,1.333
208,13,13,1,1.333
208,2048,0,0,0.833
208,2048,0,1,0.833
208,2061,0,0,0.921
208,2061,0,1,0.921
208,2048,13,0,0.833
208,2048,13,1,0.833
208,2061,13,0,1.333
208,2061,13,1,1.333
224,0,0,0,0.93
224,0,0,1,0.93
224,14,0,0,1.0
224,14,0,1,1.0
224,0,14,0,1.15
224,0,14,1,1.15
224,14,14,0,1.452
224,14,14,1,1.452
224,2048,0,0,0.93
224,2048,0,1,0.93
224,2062,0,0,1.0
224,2062,0,1,1.0
224,2048,14,0,0.833
224,2048,14,1,0.833
224,2062,14,0,1.452
224,2062,14,1,1.452
240,0,0,0,0.909
240,0,0,1,0.909
240,15,0,0,0.797
240,15,0,1,0.797
240,0,15,0,0.771
240,0,15,1,0.771
240,15,15,0,0.93
240,15,15,1,0.93
240,2048,0,0,0.909
240,2048,0,1,0.909
240,2063,0,0,0.797
240,2063,0,1,0.797
240,2048,15,0,0.771
240,2048,15,1,0.771
240,2063,15,0,0.93
240,2063,15,1,0.93
272,0,0,0,0.9
272,0,0,1,0.9
272,17,0,0,1.015
272,17,0,1,1.015
272,0,17,0,0.926
272,0,17,1,0.927
272,17,17,0,0.892
272,17,17,1,0.892
272,2048,0,0,0.9
272,2048,0,1,0.9
272,2065,0,0,1.015
272,2065,0,1,1.015
272,2048,17,0,0.927
272,2048,17,1,0.927
272,2065,17,0,0.878
272,2065,17,1,0.878
288,0,0,0,0.882
288,0,0,1,0.882
288,18,0,0,0.803
288,18,0,1,0.803
288,0,18,0,0.768
288,0,18,1,0.768
288,18,18,0,0.882
288,18,18,1,0.882
288,2048,0,0,0.882
288,2048,0,1,0.882
288,2066,0,0,0.803
288,2066,0,1,0.803
288,2048,18,0,0.768
288,2048,18,1,0.768
288,2066,18,0,0.882
288,2066,18,1,0.882
304,0,0,0,0.865
304,0,0,1,0.865
304,19,0,0,0.944
304,19,0,1,0.944
304,0,19,0,0.943
304,0,19,1,0.943
304,19,19,0,0.956
304,19,19,1,0.956
304,2048,0,0,0.866
304,2048,0,1,0.865
304,2067,0,0,0.944
304,2067,0,1,0.944
304,2048,19,0,0.943
304,2048,19,1,0.943
304,2067,19,0,0.947
304,2067,19,1,0.947
320,0,0,0,0.944
320,0,0,1,0.944
320,20,0,0,0.962
320,20,0,1,0.962
320,0,20,0,1.214
320,0,20,1,1.214
320,20,20,0,1.365
320,20,20,1,1.365
320,2048,0,0,0.943
320,2048,0,1,0.943
320,2068,0,0,0.962
320,2068,0,1,0.962
320,2048,20,0,0.914
320,2048,20,1,0.914
320,2068,20,0,1.365
320,2068,20,1,1.365
336,0,0,0,1.0
336,0,0,1,1.0
336,21,0,0,0.986
336,21,0,1,0.986
336,0,21,0,0.853
336,0,21,1,0.853
336,21,21,0,0.843
336,21,21,1,0.843
336,2048,0,0,1.0
336,2048,0,1,1.0
336,2069,0,0,0.986
336,2069,0,1,0.986
336,2048,21,0,0.853
336,2048,21,1,0.853
336,2069,21,0,0.831
336,2069,21,1,0.831
352,0,0,0,0.98
352,0,0,1,0.98
352,22,0,0,0.811
352,22,0,1,0.811
352,0,22,0,0.882
352,0,22,1,0.882
352,22,22,0,1.1
352,22,22,1,1.1
352,2048,0,0,0.98
352,2048,0,1,0.98
352,2070,0,0,0.811
352,2070,0,1,0.811
352,2048,22,0,0.882
352,2048,22,1,0.882
352,2070,22,0,1.1
352,2070,22,1,1.1
368,0,0,0,1.058
368,0,0,1,1.058
368,23,0,0,1.0
368,23,0,1,1.0
368,0,23,0,0.948
368,0,23,1,0.948
368,23,23,0,0.723
368,23,23,1,0.723
368,2048,0,0,1.058
368,2048,0,1,1.058
368,2071,0,0,1.0
368,2071,0,1,1.0
368,2048,23,0,0.948
368,2048,23,1,0.948
368,2071,23,0,0.701
368,2071,23,1,0.701
384,0,0,0,1.012
384,0,0,1,1.012
384,24,0,0,1.04
384,24,0,1,1.04
384,0,24,0,1.154
384,0,24,1,1.154
384,24,24,0,1.423
384,24,24,1,1.423
384,2048,0,0,1.012
384,2048,0,1,1.012
384,2072,0,0,1.04
384,2072,0,1,1.04
384,2048,24,0,0.91
384,2048,24,1,0.91
384,2072,24,0,1.423
384,2072,24,1,1.423
400,0,0,0,0.948
400,0,0,1,0.948
400,25,0,0,0.957
400,25,0,1,0.957
400,0,25,0,1.099
400,0,25,1,1.069
400,25,25,0,0.885
400,25,25,1,0.885
400,2048,0,0,0.948
400,2048,0,1,0.948
400,2073,0,0,0.957
400,2073,0,1,0.957
400,2048,25,0,0.94
400,2048,25,1,0.94
400,2073,25,0,0.908
400,2073,25,1,0.908
416,0,0,0,1.017
416,0,0,1,1.017
416,26,0,0,0.903
416,26,0,1,0.903
416,0,26,0,0.881
416,0,26,1,0.881
416,26,26,0,1.035
416,26,26,1,1.035
416,2048,0,0,1.017
416,2048,0,1,1.017
416,2074,0,0,0.903
416,2074,0,1,0.903
416,2048,26,0,0.881
416,2048,26,1,0.881
416,2074,26,0,1.034
416,2074,26,1,1.035
432,0,0,0,1.0
432,0,0,1,1.0
432,27,0,0,0.933
432,27,0,1,0.933
432,0,27,0,0.941
432,0,27,1,0.941
432,27,27,0,0.953
432,27,27,1,0.954
432,2048,0,0,1.0
432,2048,0,1,1.0
432,2075,0,0,0.933
432,2075,0,1,0.933
432,2048,27,0,0.941
432,2048,27,1,0.941
432,2075,27,0,0.93
432,2075,27,1,0.93
448,0,0,0,0.984
448,0,0,1,0.984
448,28,0,0,0.896
448,28,0,1,0.896
448,0,28,0,1.244
448,0,28,1,1.244
448,28,28,0,1.333
448,28,28,1,1.333
448,2048,0,0,0.984
448,2048,0,1,0.984
448,2076,0,0,0.896
448,2076,0,1,0.896
448,2048,28,0,0.988
448,2048,28,1,0.988
448,2076,28,0,1.333
448,2076,28,1,1.333
464,0,0,0,1.083
464,0,0,1,1.083
464,29,0,0,0.978
464,29,0,1,0.978
464,0,29,0,0.924
464,0,29,1,0.924
464,29,29,0,0.901
464,29,29,1,0.901
464,2048,0,0,1.083
464,2048,0,1,1.083
464,2077,0,0,0.978
464,2077,0,1,0.978
464,2048,29,0,0.924
464,2048,29,1,0.924
464,2077,29,0,0.89
464,2077,29,1,0.89
480,0,0,0,1.066
480,0,0,1,1.066
480,30,0,0,0.9
480,30,0,1,0.9
480,0,30,0,0.88
480,0,30,1,0.88
480,30,30,0,1.083
480,30,30,1,1.083
480,2048,0,0,1.066
480,2048,0,1,1.066
480,2078,0,0,0.9
480,2078,0,1,0.9
480,2048,30,0,0.88
480,2048,30,1,0.88
480,2078,30,0,1.083
480,2078,30,1,1.083
496,0,0,0,1.032
496,0,0,1,1.032
496,31,0,0,0.95
496,31,0,1,0.95
496,0,31,0,1.011
496,0,31,1,1.011
496,31,31,0,0.973
496,31,31,1,0.973
496,2048,0,0,1.032
496,2048,0,1,1.032
496,2079,0,0,0.95
496,2079,0,1,0.95
496,2048,31,0,1.011
496,2048,31,1,1.011
496,2079,31,0,0.941
496,2079,31,1,0.941
1024,32,0,0,1.143
1024,32,0,1,1.143
1024,0,32,0,1.143
1024,0,32,1,1.143
1024,32,32,0,1.143
1024,32,32,1,1.143
1024,2080,0,0,1.143
1024,2080,0,1,1.143
1024,2048,32,0,1.143
1024,2048,32,1,1.143
1024,2080,32,0,1.143
1024,2080,32,1,1.143
1056,0,0,0,1.168
1056,0,0,1,1.168
1056,33,0,0,1.067
1056,33,0,1,1.067
1056,0,33,0,0.977
1056,0,33,1,0.977
1056,33,33,0,1.043
1056,33,33,1,1.043
